Date, Close/Last, Volume, Open, High, Low
04/21/2020, $62.97, 515087, $65.56, $66.27, $62.72
04/20/2020, $66.99, 532229, $64.89, $67.88, $64.66
04/17/2020, $66.66, 768462, $66.81, $68.69, $66.25
04/16/2020, $65.7, 1205250, $64.57, $65.98, $63.64
04/15/2020, $64.47, 1382824, $62.28, $64.95, $61.86
04/14/2020, $64.5, 588569, $63.39, $65.01, $63.39
04/13/2020, $62.35, 375227, $63.48, $63.48, $61.53
04/09/2020, $63.94, 884020, $63.77, $65.28, $62.49
04/08/2020, $62.45, 571489, $60.38, $62.92, $59.325
04/07/2020, $59.31, 834656, $62.39, $62.59, $58.88
04/06/2020, $59.59, 946767, $58.02, $60.17, $57.68
04/03/2020, $55, 744800, $54.68, $56.52, $54.5
04/02/2020, $54.88, 1216125, $55.56, $56.34, $52.96
04/01/2020, $56.3, 1506923, $58.62, $60.21, $55.52
03/31/2020, $61.21, 1779219, $59.46, $62.38, $58.56
03/30/2020, $59.27, 840442, $59.24, $62.46, $58.19
03/27/2020, $59.01, 1002388, $58.94, $60.11, $54.65
03/26/2020, $60.97, 1502627, $60.14, $62.72, $58.85
03/25/2020, $58.77, 1691837, $54.76, $61, $52.65
03/24/2020, $53.79, 1849986, $51.14, $54.66, $50.01
03/23/2020, $48.74, 1408732, $47.9, $49.355, $45.36
03/20/2020, $48.45, 1458079, $50.43, $52.7631, $48.27
03/19/2020, $50.39, 2326427, $47.96, $50.72, $43.9
03/18/2020, $49.06, 2066944, $49.11, $50.5, $45.84
03/17/2020, $52.14, 2016902, $53.61, $54.1499, $49.16
03/16/2020, $52.87, 2098094, $50.31, $53.58, $46.9401
03/13/2020, $56.37, 1524303, $56.32, $57, $52.15
03/12/2020, $54.17, 2104104, $55.42, $56.58, $53.345
03/11/2020, $59.7, 2194172, $59.49, $61.09, $57.83
03/10/2020, $60.9, 1726999, $62.13, $63, $58
03/09/2020, $60.29, 2298894, $61.3, $61.93, $58
03/06/2020, $66.52, 1349677, $67.3, $68.18, $65.29
03/05/2020, $69.43, 1310115, $68.54, $70.18, $67.78
03/04/2020, $70.82, 1660256, $71.42, $72.42, $69.555
03/03/2020, $70.05, 1573850, $74.93, $76.02, $69.57
03/02/2020, $74.68, 1644018, $76.33, $76.72, $72.91
02/28/2020, $75.55, 1309434, $72.88, $76.19, $72.82
02/27/2020, $76.03, 1050746, $77.93, $79.09, $75.19
02/26/2020, $80.43, 743004, $81.72, $83.29, $79.87
02/25/2020, $81.32, 1128039, $86.18, $86.3081, $80.1
02/24/2020, $85.65, 816656, $84.8, $86.1, $83.38
02/21/2020, $88.62, 702830, $88.36, $88.72, $87.18
02/20/2020, $88.38, 420790, $88.31, $89.07, $87.235
02/19/2020, $88.45, 416531, $87.99, $88.56, $87.46
02/18/2020, $87.36, 510930, $87.28, $87.61, $86.52
02/14/2020, $87.35, 362528, $86.89, $87.74, $86.62
02/13/2020, $86.94, 468060, $86.44, $87.675, $86.44
02/12/2020, $87.22, 414076, $86.42, $87.27, $85.97
02/11/2020, $86.08, 380493, $86.54, $86.69, $85.12
02/10/2020, $85.66, 537083, $83.66, $85.71, $83.5
02/07/2020, $84.03, 529375, $85.54, $85.57, $83.94
02/06/2020, $85.82, 409283, $86.44, $86.79, $85.66
02/05/2020, $86.38, 381181, $88.04, $88.04, $85.92
02/04/2020, $87.11, 459987, $85.9, $87.25, $85.43
02/03/2020, $84.91, 578693, $83.13, $85.235, $82.96
01/31/2020, $83.12, 926685, $84.71, $85.16, $82.66
01/30/2020, $84.79, 589823, $84.15, $84.88, $83.26
01/29/2020, $83.43, 553961, $84.62, $85.42, $82.95
01/28/2020, $84.41, 1120984, $84.73, $85.89, $84.13
01/27/2020, $84.2, 1000507, $84.25, $84.74, $83.05
01/24/2020, $86.05, 1538227, $85.59, $88.354, $85.25
01/23/2020, $85.07, 3297932, $85.51, $88.86, $82.88
01/22/2020, $79.95, 1099604, $79.39, $80.76, $79.09
01/21/2020, $78.87, 881432, $79.9, $80.34, $78.69
01/17/2020, $80.14, 708033, $81.07, $81.99, $79.59
01/16/2020, $80.82, 817785, $79.86, $81.12, $79.73
01/15/2020, $79.17, 1278947, $78.04, $79.565, $78.04
01/14/2020, $77.97, 651480, $77.11, $78.14, $76.75
01/13/2020, $77.22, 520227, $76.74, $77.28, $76.58
