Date, Close/Last, Volume, Open, High, Low
08/14/2018, 97.01, 135167, 97.035, 97.04, 96.995
08/13/2018, 97.045, 277137, 97.065, 97.08, 97.03
08/10/2018, 97.065, 381194, 96.99, 97.07, 96.985
08/09/2018, 96.985, 155788, 96.955, 96.995, 96.955
08/08/2018, 96.955, 136975, 96.945, 96.96, 96.94
08/07/2018, 96.94, 122426, 96.975, 96.975, 96.935
08/06/2018, 96.97, 103656, 96.97, 96.98, 96.95
08/03/2018, 96.96, 162404, 97.32, 97.335, 97.31
08/02/2018, 97.325, 154918, 97.315, 97.33, 97.31
08/01/2018, 97.315, 215723, 97.315, 97.325, 97.305
07/31/2018, 97.32, 207464, 97.33, 97.335, 97.315
07/30/2018, 97.325, 182905, 97.33, 97.335, 97.32
07/27/2018, 97.325, 140949, 97.33, 97.335, 97.32
07/26/2018, 97.33, 177323, 97.335, 97.345, 97.325
07/25/2018, 97.345, 191107, 97.345, 97.35, 97.33
07/24/2018, 96.97, 222987, 96.975, 96.985, 96.95
07/23/2018, 96.96, 274564, 97.005, 97.025, 96.955
07/20/2018, 97.005, 269584, 97.34, 97.345, 97.325
07/19/2018, 97.335, 308401, 97.32, 97.35, 97.305
07/18/2018, 97.325, 133479, 97.325, 97.33, 97.32
07/17/2018, 97.325, 214871, 97.335, 97.34, 97.32
07/16/2018, 97.005, 168637, 97.03, 97.03, 96.99
07/13/2018, 97.035, 165298, 97.015, 97.04, 96.995
07/12/2018, 97.005, 177824, 97.01, 97.015, 96.985
07/11/2018, 97.015, 232422, 97.01, 97.035, 96.99
07/10/2018, 96.985, 145387, 97.01, 97.015, 96.985
07/09/2018, 97.345, 97031, 97.355, 97.355, 97.34
07/06/2018, 97.355, 113381, 97.025, 97.055, 97.005
07/05/2018, 97.01, 137131, 97.025, 97.04, 97.005
07/03/2018, 97.03, 1921, 97.035, 97.04, 97.02
07/02/2018, 97.01, 171077, 97.02, 97.065, 97
06/29/2018, 97.035, 182515, 97.06, 97.06, 97.025
06/28/2018, 97.045, 244730, 97.075, 97.08, 97.045
06/27/2018, 97.07, 265447, 97.025, 97.075, 97.02
06/26/2018, 97.025, 189599, 97.02, 97.04, 97.005
06/25/2018, 97.03, 281417, 97, 97.04, 97
06/22/2018, 96.995, 171235, 96.995, 97.005, 96.97
06/21/2018, 97, 241551, 96.97, 97.01, 96.965
06/20/2018, 96.98, 169570, 97, 97.02, 96.975
06/19/2018, 96.995, 284969, 96.965, 97.055, 96.965
06/18/2018, 97.335, 143819, 97.34, 97.355, 97.33
06/15/2018, 97.335, 359717, 97.315, 97.345, 97.315
06/14/2018, 97.315, 402966, 97.32, 97.325, 97.305
06/13/2018, 97.31, 522441, 97.335, 97.34, 97.275
06/12/2018, 97.335, 266921, 97.34, 97.345, 97.325
06/11/2018, 97.34, 131157, 97.355, 97.355, 97.335
06/08/2018, 97.36, 209835, 97.355, 97.39, 97.345
06/07/2018, 97.355, 328162, 97.35, 97.405, 97.335
06/06/2018, 97.345, 269719, 97.36, 97.365, 97.34
06/05/2018, 97.365, 250849, 97.35, 97.38, 97.35
06/04/2018, 97.355, 226854, 97.385, 97.395, 97.345
06/01/2018, 97.39, 492432, 97.45, 97.455, 97.37
05/31/2018, 97.44, 400291, 97.45, 97.465, 97.42
05/30/2018, 97.465, 770423, 97.52, 97.55, 97.445
05/29/2018, 97.535, 1020212, 97.435, 97.54, 97.385
05/25/2018, 97.42, 18284, 97.415, 97.42, 97.385
05/24/2018, 97.39, 468306, 97.37, 97.415, 97.37
05/23/2018, 97.37, 336126, 97.33, 97.375, 97.325
05/22/2018, 97.33, 123754, 97.33, 97.34, 97.325
05/21/2018, 97.33, 160655, 97.34, 97.34, 97.32
05/18/2018, 97.345, 240577, 97.325, 97.355, 97.32
05/17/2018, 97.325, 263905, 97.31, 97.33, 97.305
05/16/2018, 97.32, 288794, 97.34, 97.35, 97.305
05/15/2018, 97.33, 463438, 97.36, 97.38, 97.325
05/14/2018, 97.37, 287051, 97.36, 97.39, 97.355
05/11/2018, 97.36, 340501, 97.335, 97.37, 97.335
05/10/2018, 97.33, 276194, 97.33, 97.36, 97.325
05/09/2018, 97.33, 222129, 97.34, 97.34, 97.325
05/08/2018, 97.34, 227282, 97.335, 97.345, 97.325
